2015-02-04 07:08:31: -- Analysis Started by User
2015-02-04 07:08:32: Changes: 6,797, Conflicts: 0, CopyTime: 0, CopyState: 748/262, Errors: 0, All: 7816
2015-02-04 07:08:32: Left to Right: Copy File: 6797 Copy State: 748 
2015-02-04 07:08:32: -- Analysis Complete. Time 00:00:01, Speed: 6,800 files/s
2015-02-04 07:08:32: 
2015-02-04 07:08:34: == Sync Started by User
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/bin/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/obj/Debug/intermediatexaml'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Properties'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/Assets'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin'
2015-02-04 07:08:35: Create Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-02/AppBar-02/bin/Debug'
