2015-02-04 06:53:36: -- Analysis Started by User
2015-02-04 06:53:37: Changes: 7,546, Conflicts: 0, CopyTime: 0, CopyState: 0/259, Errors: 0, All: 7812
2015-02-04 06:53:37: Left to Right: Delete File: 7546 
2015-02-04 06:53:37: -- Analysis Complete. Time 00:00:01, Speed: 7,547 files/s
2015-02-04 06:53:37: 
2015-02-04 06:53:39: == Sync Started by User
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Acelerometro/CodeLab/Accelerometer sensor sample.zip'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Acelerometro/CodeLab/Windows 8 Accelerometer sensor sample in C#, C++, JavaScript for Visual Studio 2013.url'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Acelerometro/CodeLab'
2015-02-04 06:53:39: Delete Folder 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/Acelerometro'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/App.xaml'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/App.xaml.cs'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/AppBar-01.csproj'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/Logo.scale-240.png'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/SmallLogo.scale-240.png'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/SplashScreen.scale-240.png'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/Square71x71Logo.scale-240.png'
2015-02-04 06:53:39: Delete File 'C:/Work/_HPES/Treinamentos HP-ES/Windows Phone 8.1/Exemplos/AppBar/AppBar-01/AppBar-01/Assets/StoreLogo.scale-240.png'
